Job ID,Job Title,Company,Location,Employment Type,Seniority Level,Department / Function,Industry,Remote Type,Salary Range (Monthly USD),Currency,Posted Date,Application Deadline,Job Description (Short),Key Requirements (Short),Experience Required (Years),Education,Job URL (if any)
JOB-0011,Senior Finance Manager - FP&A,Michael Page,"Dubai, UAE",Full-time,Senior / Manager,Finance,Recruitment / Professional Services,Onsite,6000 - 8000,USD,2025-02-08,2025-03-15,Recruitment listing for a multinational client seeking a Senior Finance Manager to lead FP&A across MEA.,"8+ years FP&A, regional exposure, strong stakeholder management, Big 4 background preferred.",8,"Professional finance qualification (ACCA, CPA, CMA, etc.)",https://example.com/jobs/JOB-0011
JOB-00112,People & Culture Generalist,Horizon Clinics Group,"Doha, Qatar",Full-time,Mid-level,HR,Healthcare,Onsite,2600 - 3200,USD,2025-01-18,2025-02-28,"Manage recruitment, onboarding, engagement and HR operations for multi-clinic network.","3–5 years in HR, GCC experience, strong labor law knowledge.",3,BSc in HR or Business,https://example.com/jobs/JOB-00112
JOB-0013,Social Media Content Creator,Luxe Desert Escapes,Remote,Part-time,Entry-level,Marketing,Travel & Tourism,Remote,500 - 900,USD,2025-02-03,2025-02-25,"Create reels, stories and posts highlighting premium desert experiences.","Strong visual sense, basic video editing, social media trends awareness.",0,Not required,https://example.com/jobs/JOB-0013
JOB-0014,Office Manager,Crescent Legal Advisors,"Cairo, Egypt",Full-time,Mid-level,Administration,Legal Services,Onsite,900 - 1300,USD,2025-01-22,2025-02-20,"Manage office operations, vendor relationships and executive scheduling.","3+ years as office manager, strong English, multitasking skills.",3,Any relevant degree,https://example.com/jobs/JOB-0014
JOB-0015,QA Engineer - Web & API,Helio Systems,"Berlin, Germany",Full-time,Mid-level,Quality Assurance,Software & Technology,Hybrid,3500 - 4500,USD,2025-02-10,2025-03-20,Design and execute manual and automated tests for booking and payment flows.,"API testing, automation tools (e.g. Playwright, Cypress), attention to detail.",4,Technical degree preferred,https://example.com/jobs/JOB-0015
JOB-0016,Junior Data Entry Clerk,City Med Diagnostics,"Alexandria, Egypt",Full-time,Entry-level,Administration,Healthcare,Onsite,450 - 650,USD,2025-01-08,2025-02-05,"Input patient and billing data into clinic systems, ensuring high accuracy.","Fast typing, attention to detail, basic Excel skills.",0,High school or above,https://example.com/jobs/JOB-0016
JOB-0017,AI Solutions Consultant,Pocket AI Solutions,Remote - Europe,Full-time,Senior,Consulting / Pre-sales,Artificial Intelligence / SaaS,Remote,4000 - 6000,USD,2025-02-14,2025-03-31,Work with clients to design AI-powered support and sales assistants based on our platform.,"Strong communication, understanding of LLMs/RAG, pre-sales or consulting experience.",5,"BSc in CS, Engineering or similar",https://example.com/jobs/JOB-0017
JOB-0018,IT Support Specialist,Metro Logistics,"Jeddah, Saudi Arabia",Full-time,Mid-level,IT Support,Logistics & Supply Chain,Onsite,1800 - 2300,USD,2025-01-12,2025-02-18,"Support end users with hardware, software and network issues in warehouses and offices.","3+ years IT support, basic networking, strong troubleshooting skills.",3,IT diploma or degree,https://example.com/jobs/JOB-0018
JOB-0019,Business Analyst - CRM,Greenline Retail,"Amman, Jordan",Full-time,Mid-level,Business Analysis,Retail,Hybrid,2000 - 2600,USD,2025-02-06,2025-03-10,Analyze customer data and requirements to improve CRM processes and loyalty programs.,"Experience with CRM systems, requirements gathering, documentation skills.",3,Business or IT degree,https://example.com/jobs/JOB-0019
JOB-0020,Graphic Designer - Brand & Print,Palm Avenue Holding,"Cairo, Egypt",Full-time,Mid-level,Design,Real Estate / Hospitality,Hybrid,900 - 1400,USD,2025-01-25,2025-02-28,"Create branding assets, brochures and outdoor designs for premium properties.","Adobe Suite, strong portfolio, attention to typography and layout.",2,Design or related degree,https://example.com/jobs/JOB-0020
